"fips","region","abb","polyname","work.own","intel.own","trust.own","work.oth","intel.oth","trust.oth","age","educ","hhinc","race","wave.race","prim.08","clinton.therm","obama.therm","vote.08","gen.08","gen.04","party.id","ideol","wt.345","female","obama.vote.gen","obama.vote.prim","obama.kerry.dum","obama.kerry.dum2","obama.kerry.3","kerry.no.08","oc.therm.dum","oc.therm.lin"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,50,NA,0,NA,3,3,4,1.25,NA,NA,0,0,NA,0,NA,NA,NA
34,1,"NJ","new jersey",25,30,25,40,40,40,50,4,6,1,5,7,20,60,0,NA,NA,2,4,NA,0,NA,1,NA,NA,0,NA,1,40
24,3,"MD","maryland",50,35,35,50,40,40,44,6,1,1,5,NA,50,0,NA,NA,2,6,6,NA,1,NA,NA,0,NA,0,NA,0,-50
48,3,"TX","texas",32.5,32.5,42.5,70,60,65,37,3,6,1,5,NA,0,0,1,1,2,7,6,7.04,0,0,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,70,NA,NA,2,6,6,NA,NA,NA,NA,0,NA,0,NA,1,70
6,4,"CA","california",25,25,35,57.5,25,50,89,3,15,4,5,2,76,47,1,2,1,1,6,2.72,0,1,0,0,0,0,0,0,-29
26,2,"MI","michigan",23.3333333333333,26.6666666666667,25,21.6666666666667,26.6666666666667,25,58,3,8,1,5,NA,60,60,1,1,3,4,4,5.33,1,0,NA,0,NA,0,NA,0,0
36,1,"NY","new york",35,32.5,30,60,62.5,62.5,67,3,10,1,5,NA,NA,NA,0,NA,NA,5,5,2.51,0,NA,NA,NA,NA,0,NA,NA,NA
34,1,"NJ","new jersey",20,18.3333333333333,23.3333333333333,26.6666666666667,31.6666666666667,35,57,5,11,1,5,NA,5,0,1,1,2,7,6,1.1,0,0,NA,0,NA,0,NA,0,-5
51,3,"VA","virginia",22,22,21.5,22.5,22,22.5,47,7,18,1,5,NA,40,40,1,1,2,6,5,NA,0,0,NA,0,NA,0,NA,0,0
26,2,"MI","michigan",40,48.5,49,40,50,49.5,50,3,11,1,5,NA,1,0,1,1,2,7,6,0.49,0,0,NA,0,NA,0,NA,0,-1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,0,NA,NA,2,6,4,NA,NA,NA,NA,0,NA,0,NA,0,-75
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,70,90,NA,NA,1,1,3,NA,NA,NA,1,NA,NA,0,NA,1,20
25,1,"MA","massachusetts",42.5,60,60,67.5,80,72.5,83,3,12,1,5,7,80,75,1,2,1,3,4,4.41,1,1,1,0,0,0,0,0,-5
42,1,"PA","pennsylvania",0,0,0,52.5,50,62.5,57,2,2,2,5,7,50,100,1,2,1,1,2,4.01,0,1,1,0,0,0,0,1,50
50,1,"VT","vermont",32.5,37.5,35,37.5,45,42.5,71,5,14,1,5,2,80,50,1,2,1,1,5,0.83,0,1,0,0,0,0,0,0,-30
20,2,"KS","kansas",25,17.5,27.5,25,15,40,69,4,10,2,5,7,75,80,1,2,1,1,4,1.11,0,1,1,0,0,0,0,1,5
41,4,"OR","oregon",25,24.5,24.5,24.5,24,24,78,4,7,1,5,NA,50,25,1,1,2,7,4,0.65,1,0,NA,0,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,80,45,NA,NA,2,2,2,NA,NA,NA,0,0,NA,0,NA,0,-35
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,2,6,4,NA,NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,54,55,NA,NA,1,1,4,NA,NA,NA,1,NA,NA,0,NA,1,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,95,0,NA,NA,1,3,5,NA,NA,NA,0,NA,NA,0,NA,0,-95
17,2,"IL","illinois",18,6,5.5,30.5,30.5,30.5,65,4,7,2,5,7,50,75,1,2,1,3,4,0.37,0,1,1,0,0,0,0,1,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,45,50,NA,NA,1,3,4,NA,NA,NA,1,NA,NA,0,NA,1,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,7,3,NA,NA,NA,NA,0,NA,0,NA,NA,NA
36,1,"NY","new york",35,42.5,42.5,47.5,57.5,57.5,82,3,11,1,5,2,75,50,1,2,1,3,4,NA,1,1,0,0,0,0,0,0,-25
33,1,"NH","new hampshire",0,0,55,95,100,80,83,4,6,1,5,2,100,0,1,1,1,3,4,NA,1,0,0,1,1,1,0,0,-100
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,75,NA,NA,1,4,6,NA,NA,NA,NA,NA,NA,0,NA,0,-25
17,2,"IL","illinois",33,36.3333333333333,45,32.6666666666667,36.6666666666667,33.3333333333333,59,9,19,1,5,NA,35,10,1,1,2,7,6,0.27,0,0,NA,0,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,2,7,4,NA,NA,NA,NA,0,NA,0,NA,1,25
9,1,"CT","connecticut",20,22.6666666666667,28.6666666666667,28.6666666666667,28,32.6666666666667,65,3,9,1,5,7,50,70,1,2,2,2,3,0.92,1,1,1,0,NA,-1,NA,1,20
55,2,"WI","wisconsin",0,0,0,0,0,0,78,1,8,1,5,2,75,60,0,NA,1,1,4,2.25,0,NA,0,NA,NA,0,1,0,-15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,7,7,NA,NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,55,50,NA,NA,1,3,4,NA,NA,NA,0,NA,NA,0,NA,0,-5
39,2,"OH","ohio",5,5,15,10,10,10,63,4,1,2,5,7,75,100,NA,NA,1,1,4,NA,1,NA,1,NA,NA,0,NA,1,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,NA,NA,1,6,4,NA,NA,NA,NA,NA,NA,0,NA,0,-25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,55,57,NA,NA,1,3,2,NA,NA,NA,0,NA,NA,0,NA,1,2
25,1,"MA","massachusetts",45,55,55,40,50,50,60,4,10,1,5,NA,0,30,NA,NA,2,5,6,NA,1,NA,NA,0,NA,0,NA,1,30
49,4,"UT","utah",30,52.5,62.5,47.5,50,55,49,3,6,4,5,NA,25,55,1,1,2,6,3,7.04,0,0,NA,0,NA,0,NA,1,30
42,1,"PA","pennsylvania",100,100,100,100,100,100,47,3,4,2,5,4,0,0,NA,NA,1,3,4,NA,1,NA,0,NA,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,20,NA,NA,1,3,5,NA,NA,NA,0,NA,NA,0,NA,0,-80
48,3,"TX","texas",34,39.5,40.5,26,35,35,55,4,1,1,5,7,55,80,1,2,1,1,3,1.32,1,1,1,0,0,0,0,1,25
6,4,"CA","california",0,24,50,24,24,50,69,5,15,1,5,2,80,40,1,2,1,3,4,NA,0,1,0,0,0,0,0,0,-40
34,1,"NJ","new jersey",67.5,40,62.5,15,12.5,10,51,2,8,2,5,7,75,100,1,2,2,1,2,4.77,1,1,1,0,NA,-1,NA,1,25
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,80,75,NA,NA,1,1,4,NA,NA,NA,0,NA,NA,0,NA,0,-5
49,4,"UT","utah",55,47.5,70,47.5,45,55,63,3,3,1,5,NA,25,50,1,2,NA,5,6,1.12,1,1,NA,0,NA,0,NA,1,25
39,2,"OH","ohio",22.5,30,27.5,35,35,37.5,66,7,10,1,5,NA,55,70,1,2,1,6,4,0.82,1,1,NA,0,0,0,0,1,15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,80,90,NA,NA,1,1,7,NA,NA,NA,0,NA,NA,0,NA,1,10
51,3,"VA","virginia",52.5,50,45,50,52.5,67.5,52,6,10,2,5,7,65,85,NA,NA,1,1,4,NA,1,NA,1,NA,NA,0,NA,1,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,40,60,NA,NA,1,1,6,NA,NA,NA,1,NA,NA,0,NA,1,20
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,2,6,6,NA,NA,NA,NA,0,NA,0,NA,0,0
6,4,"CA","california",16,9,8.5,46,48.5,54.5,39,4,7,4,5,NA,20,5,0,NA,NA,6,4,2.06,0,NA,NA,NA,NA,0,NA,0,-15
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35,NA,NA,2,5,6,NA,NA,NA,NA,0,NA,0,NA,1,35
12,3,"FL","florida",32.5,45,47.5,60,67.5,67.5,72,3,12,1,5,2,75,50,1,2,1,3,5,2.31,1,1,0,0,0,0,0,0,-25
26,2,"MI","michigan",0,0,0,0,0,0,38,3,9,1,5,2,75,NA,NA,NA,1,4,NA,3.05,0,NA,0,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,2,6,5,NA,NA,NA,NA,0,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,75,40,NA,NA,1,2,4,NA,NA,NA,0,NA,NA,0,NA,0,-35
16,4,"ID","idaho",0,0,0,0,0,0,73,4,11,1,5,NA,25,50,1,1,2,6,4,0.28,0,0,NA,0,NA,0,NA,1,25
8,4,"CO","colorado",45,55,55,72.5,67.5,67.5,58,2,10,1,5,7,5,7,1,1,1,3,4,2.46,1,0,1,1,1,1,0,1,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,2,7,6,NA,NA,NA,NA,0,NA,0,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,55,NA,NA,3,5,4,NA,NA,NA,NA,0,NA,0,NA,1,54
12,3,"FL","florida",0,0,0,0,0,0,46,3,10,1,5,NA,5,20,1,1,2,4,6,4.02,0,0,NA,0,NA,0,NA,1,15
1,3,"AL","alabama",5,5,15,5,5,75,63,4,12,2,5,7,45,50,NA,NA,1,2,6,NA,0,NA,1,NA,NA,0,NA,1,5
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,75,25,NA,NA,1,3,3,NA,NA,NA,0,NA,NA,0,NA,0,-50
