,County Name,County Population,Election Results,county_fips
10,"Chilton County, Alabama","<strong>Total Population:</strong> 43,943<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.34<br>                                                <strong>Change in Diversity: </strong> 1.34X<br>",<strong>Percent Clinton:</strong> 16%<br>                                                      <strong>Percent Trump:</strong> 83%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01021
11,"Choctaw County, Alabama","<strong>Total Population:</strong> 13,170<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.50<br>                                                <strong>Change in Diversity: </strong> 1.00X<br>",<strong>Percent Clinton:</strong> 43%<br>                                                      <strong>Percent Trump:</strong> 56%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01023
12,"Clarke County, Alabama","<strong>Total Population:</strong> 24,675<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.52<br>                                                <strong>Change in Diversity: </strong> 1.04X<br>",<strong>Percent Clinton:</strong> 44%<br>                                                      <strong>Percent Trump:</strong> 55%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01025
13,"Clay County, Alabama","<strong>Total Population:</strong> 13,555<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.34<br>                                                <strong>Change in Diversity: </strong> 1.11X<br>",<strong>Percent Clinton:</strong> 19%<br>                                                      <strong>Percent Trump:</strong> 80%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01027
14,"Cleburne County, Alabama","<strong>Total Population:</strong> 15,018<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.15<br>                                                <strong>Change in Diversity: </strong> 1.26X<br>",<strong>Percent Clinton:</strong> 10%<br>                                                      <strong>Percent Trump:</strong> 88%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01029
15,"Coffee County, Alabama","<strong>Total Population:</strong> 51,211<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.46<br>                                                <strong>Change in Diversity: </strong> 1.17X<br>",<strong>Percent Clinton:</strong> 20%<br>                                                      <strong>Percent Trump:</strong> 77%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01031
16,"Colbert County, Alabama","<strong>Total Population:</strong> 54,354<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.35<br>                                                <strong>Change in Diversity: </strong> 1.12X<br>",<strong>Percent Clinton:</strong> 30%<br>                                                      <strong>Percent Trump:</strong> 68%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01033
17,"Conecuh County, Alabama","<strong>Total Population:</strong> 12,672<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.52<br>                                                <strong>Change in Diversity: </strong> 1.03X<br>",<strong>Percent Clinton:</strong> 47%<br>                                                      <strong>Percent Trump:</strong> 52%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01035
18,"Coosa County, Alabama","<strong>Total Population:</strong> 10,724<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.47<br>                                                <strong>Change in Diversity: </strong> 1.00X<br>",<strong>Percent Clinton:</strong> 34%<br>                                                      <strong>Percent Trump:</strong> 65%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01037
19,"Covington County, Alabama","<strong>Total Population:</strong> 37,835<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.30<br>                                                <strong>Change in Diversity: </strong> 1.19X<br>",<strong>Percent Clinton:</strong> 15%<br>                                                      <strong>Percent Trump:</strong> 84%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01039
20,"Crenshaw County, Alabama","<strong>Total Population:</strong> 13,963<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.45<br>                                                <strong>Change in Diversity: </strong> 1.13X<br>",<strong>Percent Clinton:</strong> 27%<br>                                                      <strong>Percent Trump:</strong> 72%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01041
21,"Cullman County, Alabama","<strong>Total Population:</strong> 82,005<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.15<br>                                                <strong>Change in Diversity: </strong> 1.74X<br>",<strong>Percent Clinton:</strong> 10%<br>                                                      <strong>Percent Trump:</strong> 88%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01043
22,"Dale County, Alabama","<strong>Total Population:</strong> 49,565<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.47<br>                                                <strong>Change in Diversity: </strong> 1.11X<br>",<strong>Percent Clinton:</strong> 24%<br>                                                      <strong>Percent Trump:</strong> 74%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01045
23,"Dallas County, Alabama","<strong>Total Population:</strong> 41,131<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.43<br>                                                <strong>Change in Diversity: </strong> 0.92X<br>",<strong>Percent Clinton:</strong> 68%<br>                                                      <strong>Percent Trump:</strong> 31%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01047
24,"DeKalb County, Alabama","<strong>Total Population:</strong> 71,130<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.33<br>                                                <strong>Change in Diversity: </strong> 1.91X<br>",<strong>Percent Clinton:</strong> 14%<br>                                                      <strong>Percent Trump:</strong> 83%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01049
25,"Elmore County, Alabama","<strong>Total Population:</strong> 81,468<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.41<br>                                                <strong>Change in Diversity: </strong> 1.12X<br>",<strong>Percent Clinton:</strong> 23%<br>                                                      <strong>Percent Trump:</strong> 75%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01051
26,"Escambia County, Alabama","<strong>Total Population:</strong> 37,789<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.53<br>                                                <strong>Change in Diversity: </strong> 1.07X<br>",<strong>Percent Clinton:</strong> 31%<br>                                                      <strong>Percent Trump:</strong> 68%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01053
27,"Etowah County, Alabama","<strong>Total Population:</strong> 103,057<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.36<br>                                                <strong>Change in Diversity: </strong> 1.19X<br>",<strong>Percent Clinton:</strong> 24%<br>                                                      <strong>Percent Trump:</strong> 74%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01055
28,"Fayette County, Alabama","<strong>Total Population:</strong> 16,759<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.27<br>                                                <strong>Change in Diversity: </strong> 1.13X<br>",<strong>Percent Clinton:</strong> 17%<br>                                                      <strong>Percent Trump:</strong> 82%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01057
29,"Franklin County, Alabama","<strong>Total Population:</strong> 31,696<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.37<br>                                                <strong>Change in Diversity: </strong> 1.62X<br>",<strong>Percent Clinton:</strong> 18%<br>                                                      <strong>Percent Trump:</strong> 79%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01059
30,"Geneva County, Alabama","<strong>Total Population:</strong> 26,777<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.29<br>                                                <strong>Change in Diversity: </strong> 1.17X<br>",<strong>Percent Clinton:</strong> 13%<br>                                                      <strong>Percent Trump:</strong> 85%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01061
31,"Greene County, Alabama","<strong>Total Population:</strong> 8,479<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.32<br>                                                <strong>Change in Diversity: </strong> 1.02X<br>",<strong>Percent Clinton:</strong> 82%<br>                                                      <strong>Percent Trump:</strong> 17%<br>                                                      <strong>Percent 3rd Party:</strong> 0%<br>,01063
32,"Hale County, Alabama","<strong>Total Population:</strong> 15,068<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.50<br>                                                <strong>Change in Diversity: </strong> 1.03X<br>",<strong>Percent Clinton:</strong> 60%<br>                                                      <strong>Percent Trump:</strong> 40%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01065
33,"Henry County, Alabama","<strong>Total Population:</strong> 17,221<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.46<br>                                                <strong>Change in Diversity: </strong> 0.97X<br>",<strong>Percent Clinton:</strong> 29%<br>                                                      <strong>Percent Trump:</strong> 70%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01067
34,"Houston County, Alabama","<strong>Total Population:</strong> 104,173<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.47<br>                                                <strong>Change in Diversity: </strong> 1.15X<br>",<strong>Percent Clinton:</strong> 25%<br>                                                      <strong>Percent Trump:</strong> 73%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01069
35,"Jackson County, Alabama","<strong>Total Population:</strong> 52,419<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.20<br>                                                <strong>Change in Diversity: </strong> 1.23X<br>",<strong>Percent Clinton:</strong> 18%<br>                                                      <strong>Percent Trump:</strong> 80%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01071
36,"Jefferson County, Alabama","<strong>Total Population:</strong> 660,367<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.56<br>                                                <strong>Change in Diversity: </strong> 1.08X<br>",<strong>Percent Clinton:</strong> 52%<br>                                                      <strong>Percent Trump:</strong> 45%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01073
37,"Lamar County, Alabama","<strong>Total Population:</strong> 13,886<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.25<br>                                                <strong>Change in Diversity: </strong> 1.03X<br>",<strong>Percent Clinton:</strong> 15%<br>                                                      <strong>Percent Trump:</strong> 84%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01075
38,"Lauderdale County, Alabama","<strong>Total Population:</strong> 92,596<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.27<br>                                                <strong>Change in Diversity: </strong> 1.24X<br>",<strong>Percent Clinton:</strong> 25%<br>                                                      <strong>Percent Trump:</strong> 71%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01077
39,"Lawrence County, Alabama","<strong>Total Population:</strong> 33,115<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.40<br>                                                <strong>Change in Diversity: </strong> 1.04X<br>",<strong>Percent Clinton:</strong> 25%<br>                                                      <strong>Percent Trump:</strong> 73%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01079
40,"Lee County, Alabama","<strong>Total Population:</strong> 156,993<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.48<br>                                                <strong>Change in Diversity: </strong> 1.18X<br>",<strong>Percent Clinton:</strong> 36%<br>                                                      <strong>Percent Trump:</strong> 60%<br>                                                      <strong>Percent 3rd Party:</strong> 4%<br>,01081
41,"Limestone County, Alabama","<strong>Total Population:</strong> 91,663<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.38<br>                                                <strong>Change in Diversity: </strong> 1.28X<br>",<strong>Percent Clinton:</strong> 24%<br>                                                      <strong>Percent Trump:</strong> 73%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01083
42,"Lowndes County, Alabama","<strong>Total Population:</strong> 10,458<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.41<br>                                                <strong>Change in Diversity: </strong> 1.03X<br>",<strong>Percent Clinton:</strong> 73%<br>                                                      <strong>Percent Trump:</strong> 26%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01085
43,"Macon County, Alabama","<strong>Total Population:</strong> 19,105<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.31<br>                                                <strong>Change in Diversity: </strong> 1.21X<br>",<strong>Percent Clinton:</strong> 83%<br>                                                      <strong>Percent Trump:</strong> 16%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01087
44,"Madison County, Alabama","<strong>Total Population:</strong> 353,089<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.51<br>                                                <strong>Change in Diversity: </strong> 1.16X<br>",<strong>Percent Clinton:</strong> 39%<br>                                                      <strong>Percent Trump:</strong> 56%<br>                                                      <strong>Percent 3rd Party:</strong> 5%<br>,01089
45,"Marengo County, Alabama","<strong>Total Population:</strong> 20,028<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.53<br>                                                <strong>Change in Diversity: </strong> 1.04X<br>",<strong>Percent Clinton:</strong> 51%<br>                                                      <strong>Percent Trump:</strong> 48%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01091
46,"Marion County, Alabama","<strong>Total Population:</strong> 30,168<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.16<br>                                                <strong>Change in Diversity: </strong> 1.44X<br>",<strong>Percent Clinton:</strong> 11%<br>                                                      <strong>Percent Trump:</strong> 87%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01093
47,"Marshall County, Alabama","<strong>Total Population:</strong> 94,725<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.31<br>                                                <strong>Change in Diversity: </strong> 1.94X<br>",<strong>Percent Clinton:</strong> 14%<br>                                                      <strong>Percent Trump:</strong> 84%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01095
48,"Mobile County, Alabama","<strong>Total Population:</strong> 415,395<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.54<br>                                                <strong>Change in Diversity: </strong> 1.09X<br>",<strong>Percent Clinton:</strong> 42%<br>                                                      <strong>Percent Trump:</strong> 56%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01097
49,"Monroe County, Alabama","<strong>Total Population:</strong> 21,673<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.53<br>                                                <strong>Change in Diversity: </strong> 1.04X<br>",<strong>Percent Clinton:</strong> 42%<br>                                                      <strong>Percent Trump:</strong> 57%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01099
50,"Montgomery County, Alabama","<strong>Total Population:</strong> 226,519<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.54<br>                                                <strong>Change in Diversity: </strong> 1.03X<br>",<strong>Percent Clinton:</strong> 62%<br>                                                      <strong>Percent Trump:</strong> 36%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01101
51,"Morgan County, Alabama","<strong>Total Population:</strong> 119,565<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.39<br>                                                <strong>Change in Diversity: </strong> 1.36X<br>",<strong>Percent Clinton:</strong> 22%<br>                                                      <strong>Percent Trump:</strong> 75%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01103
52,"Perry County, Alabama","<strong>Total Population:</strong> 9,652<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.45<br>                                                <strong>Change in Diversity: </strong> 1.04X<br>",<strong>Percent Clinton:</strong> 73%<br>                                                      <strong>Percent Trump:</strong> 27%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01105
53,"Pickens County, Alabama","<strong>Total Population:</strong> 20,864<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.55<br>                                                <strong>Change in Diversity: </strong> 1.08X<br>",<strong>Percent Clinton:</strong> 42%<br>                                                      <strong>Percent Trump:</strong> 57%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01107
54,"Pike County, Alabama","<strong>Total Population:</strong> 33,046<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.54<br>                                                <strong>Change in Diversity: </strong> 1.06X<br>",<strong>Percent Clinton:</strong> 39%<br>                                                      <strong>Percent Trump:</strong> 59%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01109
55,"Randolph County, Alabama","<strong>Total Population:</strong> 22,696<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.40<br>                                                <strong>Change in Diversity: </strong> 1.05X<br>",<strong>Percent Clinton:</strong> 23%<br>                                                      <strong>Percent Trump:</strong> 76%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01111
56,"Russell County, Alabama","<strong>Total Population:</strong> 59,660<br>                                                <strong>Majority:</strong> White (0%)<br>                                                <strong>Diversity Index:</strong> 0.57<br>                                                <strong>Change in Diversity: </strong> 1.11X<br>",<strong>Percent Clinton:</strong> 50%<br>                                                      <strong>Percent Trump:</strong> 48%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01113
57,"St. Clair County, Alabama","<strong>Total Population:</strong> 87,074<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.25<br>                                                <strong>Change in Diversity: </strong> 1.33X<br>",<strong>Percent Clinton:</strong> 15%<br>                                                      <strong>Percent Trump:</strong> 83%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01115
58,"Shelby County, Alabama","<strong>Total Population:</strong> 208,713<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.37<br>                                                <strong>Change in Diversity: </strong> 1.77X<br>",<strong>Percent Clinton:</strong> 23%<br>                                                      <strong>Percent Trump:</strong> 73%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01117
59,"Sumter County, Alabama","<strong>Total Population:</strong> 13,103<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.41<br>                                                <strong>Change in Diversity: </strong> 1.04X<br>",<strong>Percent Clinton:</strong> 74%<br>                                                      <strong>Percent Trump:</strong> 25%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01119
60,"Talladega County, Alabama","<strong>Total Population:</strong> 80,862<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.49<br>                                                <strong>Change in Diversity: </strong> 1.08X<br>",<strong>Percent Clinton:</strong> 36%<br>                                                      <strong>Percent Trump:</strong> 62%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01121
61,"Tallapoosa County, Alabama","<strong>Total Population:</strong> 40,844<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.45<br>                                                <strong>Change in Diversity: </strong> 1.11X<br>",<strong>Percent Clinton:</strong> 28%<br>                                                      <strong>Percent Trump:</strong> 70%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01123
62,"Tuscaloosa County, Alabama","<strong>Total Population:</strong> 203,976<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.51<br>                                                <strong>Change in Diversity: </strong> 1.11X<br>",<strong>Percent Clinton:</strong> 39%<br>                                                      <strong>Percent Trump:</strong> 58%<br>                                                      <strong>Percent 3rd Party:</strong> 3%<br>,01125
63,"Walker County, Alabama","<strong>Total Population:</strong> 65,294<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.20<br>                                                <strong>Change in Diversity: </strong> 1.32X<br>",<strong>Percent Clinton:</strong> 15%<br>                                                      <strong>Percent Trump:</strong> 83%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01127
64,"Washington County, Alabama","<strong>Total Population:</strong> 16,804<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.51<br>                                                <strong>Change in Diversity: </strong> 1.02X<br>",<strong>Percent Clinton:</strong> 28%<br>                                                      <strong>Percent Trump:</strong> 71%<br>                                                      <strong>Percent 3rd Party:</strong> 1%<br>,01129
65,"Wilcox County, Alabama","<strong>Total Population:</strong> 11,059<br>                                                <strong>Majority:</strong> Black or African American (1%)<br>                                                <strong>Diversity Index:</strong> 0.42<br>                                                <strong>Change in Diversity: </strong> 1.04X<br>",<strong>Percent Clinton:</strong> 71%<br>                                                      <strong>Percent Trump:</strong> 28%<br>                                                      <strong>Percent 3rd Party:</strong> 0%<br>,01131
66,"Winston County, Alabama","<strong>Total Population:</strong> 23,877<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.12<br>                                                <strong>Change in Diversity: </strong> 1.95X<br>",<strong>Percent Clinton:</strong> 8%<br>                                                      <strong>Percent Trump:</strong> 90%<br>                                                      <strong>Percent 3rd Party:</strong> 2%<br>,01133
67,"Apache County, Arizona","<strong>Total Population:</strong> 71,474<br>                                                <strong>Majority:</strong> American Indian and Alaska Native (1%)<br>                                                <strong>Diversity Index:</strong> 0.42<br>                                                <strong>Change in Diversity: </strong> 1.13X<br>",<strong>Percent Clinton:</strong> 46%<br>                                                      <strong>Percent Trump:</strong> 48%<br>                                                      <strong>Percent 3rd Party:</strong> 6%<br>,04001
68,"Cochise County, Arizona","<strong>Total Population:</strong> 126,427<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.57<br>                                                <strong>Change in Diversity: </strong> 1.06X<br>",<strong>Percent Clinton:</strong> 35%<br>                                                      <strong>Percent Trump:</strong> 58%<br>                                                      <strong>Percent 3rd Party:</strong> 7%<br>,04003
69,"Coconino County, Arizona","<strong>Total Population:</strong> 139,097<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.61<br>                                                <strong>Change in Diversity: </strong> 1.06X<br>",<strong>Percent Clinton:</strong> 56%<br>                                                      <strong>Percent Trump:</strong> 37%<br>                                                      <strong>Percent 3rd Party:</strong> 7%<br>,04005
70,"Gila County, Arizona","<strong>Total Population:</strong> 53,159<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.54<br>                                                <strong>Change in Diversity: </strong> 1.13X<br>",<strong>Percent Clinton:</strong> 32%<br>                                                      <strong>Percent Trump:</strong> 63%<br>                                                      <strong>Percent 3rd Party:</strong> 4%<br>,04007
71,"Graham County, Arizona","<strong>Total Population:</strong> 37,666<br>                                                <strong>Majority:</strong> White (1%)<br>                                                <strong>Diversity Index:</strong> 0.62<br>                                                <strong>Change in Diversity: </strong> 1.03X<br>",<strong>Percent Clinton:</strong> 29%<br>                                                      <strong>Percent Trump:</strong> 66%<br>                                                      <strong>Percent 3rd Party:</strong> 5%<br>,04009
72,"Greenlee County, Arizona","<strong>Total Population:</strong> 9,529<br>                                                <strong>Majority:</strong> White (0%)<br>                                                <strong>Diversity Index:</strong> 0.57<br>                                                <strong>Change in Diversity: </strong> 1.09X<br>",<strong>Percent Clinton:</strong> 34%<br>                                                      <strong>Percent Trump:</strong> 58%<br>                                                      <strong>Percent 3rd Party:</strong> 8%<br>,04011
